吝嗇	けち	0.0437500875	0.41440612	2	1
けり	が	0.0740148740315	0.096079424	1	0
けれど	が	0.345346846539	0.32517037	1	0
けれど	で	0.0222454866382	0.2160729	1	0
その	こう	0.00259150270235	0.215805	2	0
それ	こう	0.00191462389262	0.14786522	2	0
こく	石	0.3705108	0.15076086	2	1
こく	が	0.0470528	0.20223783	2	0
こざっぱり	きちんと	0.117646882353	0.2869599	2	1
こそ	歓迎	0.030291383264	0.16945273	2	1
こそ	が	0.0192919882739	0.2960192	2	0
こそ	と	0.0180756909914	0.21205166	2	1
こだわり	注意	0.0225443125	0.05654718	1	0
こっくり	突然	0.125785874214	0.26208243	2	1
こっそり	彼女	0.044521742445	0.431427	1	0
潜入	こっそり	0.067460218254	0.37233204	2	1
匍匐	こっそり	0.08333325	0.24903613	2	1
奪	こっそり	0.00210451807449	0.032856513	2	1
こってり	豪華	0.0139796580401	0.28745654	2	1
手順	こつこつ	0.000188911547042	0.088167265	2	1
こてこて	豪華	0.04166675	0.27334705	2	1
こと	と	0.096070168356	0.50227547	2	1
こと	が	0.0224352566831	0.51127183	2	0
こめかみ	寺	0.695786687393	0.10849304	2	1
こめかみ	寺院	0.0782720701882	0.07768626	2	1
こめかみ	寺社	0.00395637494511	0.06839368	2	1
こめかみ	院	0.00347519200777	0.07567042	2	1
ころ	頃	0.120867356685	0.9307874	1	0
ころ	時	0.0277370421564	0.30033615	1	0
ころ	時間	0.0268177497006	0.11755866	1	0
ローラー	ころころ	0.0154820890922	0.119736075	2	1
私	こんな	0.000482490071189	0.43630034	1	0
その	こんな	0.000602245384695	0.32600448	2	0
ごく	非常	0.029070058219	0.24344033	2	1
ごく	小さな	0.0251890763053	0.32203335	2	0
ごく	大変	0.014863190238	0.17965621	2	0
ごく	数	0.0109099445602	0.13730264	2	1
ごたごた	混乱	0.101868453687	0.5441375	2	1
ごたごた	困難	0.043856845032	0.17778136	2	1
ごたごた	トラブル	0.02935774842	0.34927773	2	1
ごたごた	問題	0.0263617736382	0.35573548	2	0
ごたごた	障害	0.0180635063809	0.12232197	2	1
ごっこ	ゲーム	0.57343	0.37702507	2	0
ごっこ	試合	0.0646042	0.045464464	2	1
ごっこ	娯楽	0.0282075	0.26908857	2	1
ごっそり	部分	0.407186	0.23201354	2	1
ごっそり	一部	0.230539	0.25534347	2	1
ごっそり	区間	0.0419162	0.13314497	2	1
ごっそり	部	0.0359281	0.108610295	2	1
ごっそり	分	0.0149701	0.10185982	2	0
ごっそり	箇所	0.00898204	0.04328042	2	1
ごっちゃ	ミックス	0.352941	0.25865737	2	1
ごっちゃ	混合	0.0374332	0.10745086	2	1
ごっちゃ	組み合わせ	0.0213904	0.15002877	2	1
ごてごて	豪華	0.166667	0.32466638	2	1
ごてごて	豊か	0.0833333	0.25932539	2	1
ごと	で	0.0260979961452	0.20769905	1	0
ごろ	頃	0.170305986364	0.27341574	1	0
ごろつき	悪	0.0384995	0.30864647	2	1
ごろつき	不良	0.0207305	0.21129769	2	1
と	さ	0.000338729531553	0.2389511	1	0
さあ	今	0.041717168449	0.23757078	1	0
さく	出	0.0735295	0.13298082	2	1
同義	さす	0.0144	0.2522743	2	1
さす	する	0.02125405	0.16574796	1	0
その	さっき	2.10176094821e-05	0.28880543	2	1
さっき	何	0.0129662502124	0.4689689	1	0
さて	今	0.0495529923007	0.28319255	1	0
さて	で	0.0119817275145	0.16609444	1	0
さよなら	さようなら	0.0076923013986	0.78905296	2	0
さよなら	別れ	0.0540742263455	0.58084613	2	1
さよなら	帰国	0.0256410076923	0.15496138	2	0
さら	数	0.01866725406	0.014609074	2	1
さら	日	0.0168321329861	0.13567072	2	0
さら	圧力	0.016639104573	0.16113563	2	1
さら	危険	0.016268650398	0.09344428	2	0
さら	露出	0.0136819650046	0.11618523	2	1
さらば	が	0.076698942625	0.09350988	2	0
